u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,junction,bridge,tunnel
102607662,102639738,0,11516618,Southgate Avenue,residential,False,False,85.485,"LINESTRING (-8515526.213602986 4718012.4864180675, -8515620.868566008 4718068.688542013)",,,,,,no,
102607662,102595472,0,1303089561,Franklin Street,residential,False,True,92.525,"LINESTRING (-8515526.213602986 4718012.4864180675, -8515585.090481669 4717908.903497942)",,,,,,no,
102607662,102631015,0,1303089562,Southgate Avenue,residential,False,True,189.329,"LINESTRING (-8515526.213602986 4718012.4864180675, -8515315.18524429 4717890.389272142)",,,,,,no,
102607664,10031857043,0,11511296,Franklin Street,residential,False,True,4.822,"LINESTRING (-8515297.29620212 4718410.9626220465, -8515301.203516247 4718406.136939736)",,,,,,no,
102607664,9630596038,0,1303089560,Franklin Street,residential,False,False,5.941,"LINESTRING (-8515297.29620212 4718410.9626220465, -8515292.175505543 4718416.647479228)",,,,,,no,
102607664,10031857042,0,1303089565,Cathedral Street,residential,False,False,6.565,"LINESTRING (-8515297.29620212 4718410.9626220465, -8515303.730468687 4718416.447005621)",,,,,,no,
102607664,10031944168,0,1303089566,Cathedral Street,residential,False,True,81.751,"LINESTRING (-8515297.29620212 4718410.9626220465, -8515216.867870023 4718343.030973249)",,,,,,no,
102607666,7308513807,0,1303089560,Franklin Street,residential,False,True,10.434,"LINESTRING (-8515175.77984597 4718548.030142138, -8515184.696537182 4718537.977697325)",,,,,,no,
102607666,102584602,0,114751046,Church Circle,secondary,True,False,23.158,"LINESTRING (-8515175.77984597 4718548.030142138, -8515168.833509743 4718544.264054096, -8515160.417756239 4718541.715143592, -8515147.47129946 4718539.538546365)",,MD 450,,,roundabout,no,
102593331,102629499,0,11516423,Tucker Street,residential,False,True,142.529,"LINESTRING (-8516211.095638143 4720475.505680178, -8516077.857339613 4720349.211087243)",,,,,,no,
102593331,11907935195,0,711701687,Melvin Avenue,tertiary,False,False,44.887,"LINESTRING (-8516211.095638143 4720475.505680178, -8516171.844385691 4720517.95751611)",,,,,,no,
102593331,3590614204,0,743255227,Melvin Avenue,tertiary,False,True,57.635,"LINESTRING (-8516211.095638143 4720475.505680178, -8516261.489971627 4720420.994575318)",,,,,,no,
102593333,11907983981,0,11518241,Shiley Street,residential,False,False,70.35,"LINESTRING (-8516008.238130072 4720694.913693332, -8516074.49549099 4720756.730921681)",,,,,,no,
102593333,102629495,0,11518241,Shiley Street,residential,False,True,141.55,"LINESTRING (-8516008.238130072 4720694.913693332, -8515874.910775948 4720570.549915685)",,,,,,no,
102593333,102593334,0,711701687,Melvin Avenue,tertiary,False,False,112.597,"LINESTRING (-8516008.238130072 4720694.913693332, -8515909.776040463 4720801.40398656)",,,,,,no,
102593333,11907983999,0,711701687,Melvin Avenue,tertiary,False,True,25.127,"LINESTRING (-8516008.238130072 4720694.913693332, -8516030.212597553 4720671.152259387)",,,,,,no,
102593334,102593321,0,711701687,Melvin Avenue,tertiary,False,False,97.65,"LINESTRING (-8515909.776040463 4720801.40398656, -8515824.382859077 4720893.75854551)",,,,,,no,
102593334,102593333,0,711701687,Melvin Avenue,tertiary,False,True,112.597,"LINESTRING (-8515909.776040463 4720801.40398656, -8516008.238130072 4720694.913693332)",,,,,,no,
102593334,102610260,0,11511661,Claude Street,residential,False,False,112.682,"LINESTRING (-8515909.776040463 4720801.40398656, -8515970.489690743 4720855.473124527, -8516026.683769695 4720885.780613834)",,,,,,no,
102593334,102610258,0,1303091351,Claude Street,residential,False,True,141.57,"LINESTRING (-8515909.776040463 4720801.40398656, -8515901.093120182 4720798.267269261, -8515772.686087552 4720682.152120619)",,,,,,no,
102607804,7308529013,0,11511322,West Street,secondary,False,False,9.925,"LINESTRING (-8515197.030736761 4718575.567018503, -8515209.787950408 4718574.779431297)",,MD 450,,,,no,
102607804,102607666,0,114751046,Church Circle,secondary,True,False,27.662,"LINESTRING (-8515197.030736761 4718575.567018503, -8515193.090026788 4718566.559888468, -8515189.160448764 4718559.886884728, -8515185.175210992 4718555.032492064, -8515180.74469526 4718551.05160542, -8515175.77984597 4718548.030142138)",,MD 450,,,roundabout,no,
102607809,7308538329,0,11519485,West Washington Street,residential,False,False,9.091,"LINESTRING (-8515562.258854106 4718534.54096634, -8515565.219952561 4718545.867863283)",,,,,,no,
102607809,11062792341,0,49826105,West Street,primary,False,False,42.813,"LINESTRING (-8515562.258854106 4718534.54096634, -8515615.091084436 4718518.7749778805)",2,MD 450,25 mph,,,no,
102607809,7308526358,0,49826105,West Street,primary,False,True,5.75,"LINESTRING (-8515562.258854106 4718534.54096634, -8515555.167802542 4718536.674603356)",2,MD 450,25 mph,,,no,
102607811,7308491863,0,11513535,Lafayette Avenue,residential,False,False,8.567,"LINESTRING (-8515667.533696547 4718503.238128586, -8515662.56884726 4718493.386203303)",,,,,,no,
102607811,7308541583,0,415630020,Lafayette Avenue,residential,False,False,7.647,"LINESTRING (-8515667.533696547 4718503.238128586, -8515671.674781607 4718512.173603983)",,,,,,no,
102607811,7308536071,0,1191539891,West Street,primary,False,True,6.598,"LINESTRING (-8515667.533696547 4718503.238128586, -8515659.351713974 4718505.5292753745)",2,MD 450,25 mph,,,no,
102607811,7308536072,0,1191539892,West Street,primary,False,False,7.665,"LINESTRING (-8515667.533696547 4718503.238128586, -8515676.962457418 4718500.316917184)",2,MD 450,25 mph,,,no,
102607813,7257212315,0,1191539892,West Street,primary,False,False,39.264,"LINESTRING (-8515815.688806847 4718458.847261779, -8515864.101653391 4718444.2555967085)",2,MD 450,25 mph,,,no,
102607813,764812180,0,11519206,Munroe Court,residential,False,False,184.048,"LINESTRING (-8515815.688806847 4718458.847261779, -8515834.9804746 4718524.731969731, -8515836.494419673 4718528.655567237, -8515839.032504067 4718533.65314436, -8515842.539068025 4718538.292731056, -8515846.312798765 4718542.316571855, -8515851.29991195 4718546.469291791, -8515856.943810133 4718549.906026819, -8515862.832611198 4718552.397660442, -8515867.752932688 4718553.7580353785, -8515875.95717916 4718555.190009194, -8515931.46107727 4718557.022935973, -8515990.204372562 4718558.641066921)",,,,,,no,
102607813,7308536072,0,1191539892,West Street,primary,False,True,112.436,"LINESTRING (-8515815.688806847 4718458.847261779, -8515679.177715285 4718499.543655483, -8515676.962457418 4718500.316917184)",2,MD 450,25 mph,,,no,
102607815,102607817,0,1191539892,West Street,primary,False,False,35.655,"LINESTRING (-8516002.994982054 4718393.86511109, -8516046.008833297 4718377.798632093)",2,MD 450,25 mph,,,no,
102607815,7607685708,0,1191539892,West Street,primary,False,True,35.983,"LINESTRING (-8516002.994982054 4718393.86511109, -8515959.546984797 4718409.974574146)",2,MD 450,25 mph,,,no,
102607817,11485643862,0,11513597,Madison Place,residential,False,False,29.855,"LINESTRING (-8516046.008833297 4718377.798632093, -8516060.101880832 4718413.56877784)",,,,,,no,
102607817,102562052,0,1191539892,West Street,primary,False,False,52.989,"LINESTRING (-8516046.008833297 4718377.798632093, -8516109.973012708 4718354.028308789)",2,MD 450,25 mph,,,no,
102607817,102607815,0,1191539892,West Street,primary,False,True,35.655,"LINESTRING (-8516046.008833297 4718377.798632093, -8516002.994982054 4718393.86511109)",2,MD 450,25 mph,,,no,
