,id,geometry
296,102613623,POINT (-76.4966264 38.9808208)
297,6496830086,POINT (-76.4941025 38.9809574)
298,6496830115,POINT (-76.5010456 38.9868099)
299,8028930829,POINT (-76.4858912 38.9780727)
300,7308526358,POINT (-76.49653360000001 38.9781112)
301,102646581,POINT (-76.50588860000001 38.9814637)
302,102646589,POINT (-76.5029375 38.987014)
303,102613891,POINT (-76.50153709999999 38.9938582)
304,102613900,POINT (-76.5033433 38.9923118)
305,12112020491,POINT (-76.4877632 38.97729)
306,12112020492,POINT (-76.4876974 38.9773743)
307,102614133,POINT (-76.4883541 38.9812224)
308,102614135,POINT (-76.4894513 38.9819414)
309,102614143,POINT (-76.4954073 38.985741)
310,7036618068,POINT (-76.4899739 38.9760909)
311,102614360,POINT (-76.49494300000001 38.9944684)
312,7036618076,POINT (-76.48913810000001 38.9761155)
313,7257212315,POINT (-76.49930879999999 38.9774658)
314,102614537,POINT (-76.4992197 38.9908201)
315,102614539,POINT (-76.50029600000001 38.9915647)
316,8026801817,POINT (-76.4893045 38.983436)
317,8026801818,POINT (-76.4884734 38.9828739)
318,7308527324,POINT (-76.4956045 38.9782995)
319,102594718,POINT (-76.4995697 38.9759458)
320,102581989,POINT (-76.49066550000001 38.9885601)
321,102581993,POINT (-76.4913751 38.9878468)
322,7308527341,POINT (-76.4922631 38.978282)
323,7308527344,POINT (-76.49313170000001 38.9786933)
324,11872618276,POINT (-76.50191409999999 38.9927103)
325,102582123,POINT (-76.49119090000001 38.9803225)
326,102582125,POINT (-76.4909992 38.9794309)
327,4341122944,POINT (-76.49468090000001 38.9775405)
328,3713976514,POINT (-76.48744550000001 38.9779296)
329,3658992053,POINT (-76.4958295 38.9947989)
330,7308528058,POINT (-76.4932551 38.9786989)
331,7038356100,POINT (-76.50092220000001 38.9849796)
332,102583131,POINT (-76.5057066 38.9886814)
333,102583136,POINT (-76.4949027 38.9892635)
334,102583138,POINT (-76.4946843 38.9890924)
335,102583146,POINT (-76.4913919 38.9876796)
336,102583228,POINT (-76.4970103 38.9933597)
337,503729146,POINT (-76.4886314 38.9827056)
